"Tweet","Continent"
"kidkicks23 wow get the ps4 dickhead or a iphone 5s or somthing better then beats","NorthAmerica"
"my mom said i can get a new phone friday hell yeah iphone 5s","NorthAmerica"
"so sad that im not getting the gold iphone 5s replacement because its not available on the insurance sight guess ill settle for black","NorthAmerica"
"first tweet on my iphone 5s d still restoring from icloud backup though and so far i have no service","Europe"
"no unlocked iphone 5s apple store century city w viniduraes httptcoyd6qojnaxx","NorthAmerica"
"lol everyone in my familyincluding my 10 year old brother has an iphone 5s ballin","NorthAmerica"
"does the iphone 5s update automatically i dont remember updating twitter","Europe"
"underwhelmed with the iphone 5s thinking of jumping to htc one anyone have one other devices to consider go","NorthAmerica"
"ask me why i love iphone5s because its incredibly fast and gorgeous opens apps in nanoseconds ios7 apple iphone","Europe"
"got my first iphone a 5s only complaint third party apps that havent updated to the ios 7 style its a jarring experience","NorthAmerica"
"galaxy note 3 vs iphone 5s vs lumia 1020 i am so giddy like a boy about to get an ice cream for free note3","Asia"
"im the only one that i know of school with a iphone 5s ","NorthAmerica"
"who else has an iphone 5s ","NorthAmerica"
"welcome hosgeldin 5s iphone apple ios elvedas3 instamood bestagrampicoftheday istanbul httptco6bcxz8t3bk","Asia"
"ugh i really dont want the iphone 5s but i kinda need it for imessage and emojis ","NorthAmerica"
"carloople yahoo indeed too bad i just got an iphone 5s","Asia"
"what to buy on black friday galaxys4 or iphone 5s hmmm","NorthAmerica"
"i have like a collection if cases for my iphone 5s lol","NorthAmerica"
"iphone 5s ","NorthAmerica"
"i need to find me a iphone 5s","NorthAmerica"
"i love the iphone 5s ","NorthAmerica"
"lowkeycareless fuck it i gotaa iphone 5s now ","NorthAmerica"
"ludashann as ms adarnaibong adarna hahaha tried the slomo on iphone5s crossfit alpha strike httptcocqnrbhbgxy","Asia"
"dad got the iphone 5s and has been chatting it up with siri for the past 10 minutes","NorthAmerica"
"studio tomorrow and i lost my damn lyrics in this weak ass iphone 5s","NorthAmerica"
"just cried because my mom told me i was getting the iphone 5s for a birthdaychristmas present lifescomplete","NorthAmerica"
"the 3 best features of the iphone5s are 1 camera 2 fingerprint reader 3 lte on sprint","NorthAmerica"
"next is a iphone 5s then","NorthAmerica"
"my moms friend is selling her white iphone 5s i said i can give you my black iphone 5 to sell and gimme that 5s lol im so stupid","NorthAmerica"
"i want the iphone 5s so bad but nobody wants to buy it for me ","NorthAmerica"
"lovelauryn i want the iphone 5c for christmas iphone 5s is better","NorthAmerica"
"jumped from my iphone 4 all the way to the 5s today we have so much catching up to do siri httptcokbmmkjegh5","NorthAmerica"
"i really want a gold iphone 5s","NorthAmerica"
"i done had an iphone 3g iphone 4 iphone 5 now an iphone 5s ","NorthAmerica"
"i want the iphone 5s","NorthAmerica"
"everything about the iphone 5s is a god send touchid lightning headphones gold ","NorthAmerica"
"my christmas list consists of only two things iphone 5s and a plane ticket to california not too much to ask","NorthAmerica"
"new iphone 5s for the wife and me sweet","NorthAmerica"
"shrimp crab cocktail delicious nofilter hdr iphone5s pappasitos cantina httptcoqvaodue3i4","NorthAmerica"
"omg today i touched a gold iphone 5s thanks kellyoink ","NorthAmerica"
"wow my dad got the iphone 5s before me ","NorthAmerica"
"my new gold case loveit hintofblue aluminum iphone5s home httptcowv6dy4i9mv","NorthAmerica"
"apple iphone 5s for her google nexus 5 for him tmobile san marino apt httptcoamaffegtyn","NorthAmerica"
"wearemumbai thebigbhookad reliancemobile where to get iphone 5s with reliance contract in mumbai","Asia"
"the iphone 5s compared to my iphone 4 makes me realize how much time ive wasted my life at loading screens","NorthAmerica"
"my dad is getting the iphone 5s he cant even work his iphone 3 ","NorthAmerica"
"iphone 5s is going to be delivered tomorrow and im going to go see tonightalive tomorrow is going to be an awesome day tonightalive","NorthAmerica"
"i wanna get rid of my iphone 5s","NorthAmerica"
"anybody tryna sell a galaxy s4 or iphone 5s","NorthAmerica"
"im really thinking about buying him and iphone5 iphone5c or and iphone5s just so i can keep him away from android apple iphone5","NorthAmerica"
"im thinking i need a new phone possibly the iphone 5s iphoneproblems","NorthAmerica"
"wanna sell my iphone 5 so i can get the 5s no cracks or nothing the lock button just works when it wants to who wants to buy it","NorthAmerica"
"mrteamjl i wan iphone 5s iphone 5c better","Asia"
"me and u both rtyouaintabarbie i want the gold iphone 5s ","NorthAmerica"
"ready for my white iphone 5s ","NorthAmerica"
"economictimes iphone 5s out of stock in india as supplies head west httptcokatdzwbpsy den y prices are going down online ","Asia"
"pololikeralf what 5s are releasing this weekend lol im talking about the iphone 5s nigga","NorthAmerica"
"cant wait till i get my new phone iphone 5s gold yes ","NorthAmerica"
"the iphone 5s has really good battery life","NorthAmerica"
"white girls be likeill have one triple mocha dark chocolate ugg boot raspberry white iphone 5s double caramel infinity sign frappe please","NorthAmerica"
"this gold iphone 5s though ","NorthAmerica"
"cannot wait any long to get this iphone 5s im in neeeeeed of a new phone","NorthAmerica"
"sometimes i think bri loves her iphone 5s more than me","NorthAmerica"
"put 2 iphone 5s together the long way now u kno the length of his dick","NorthAmerica"
"loving iphone 5s","SouthAmerica"
"so is the iphone 5s really that nice","NorthAmerica"
"seriously contemplating getting the galaxy note 3 instead of the iphone 5s ","NorthAmerica"
"cant wait to get my iphone 5s","NorthAmerica"
"i got the iphone 5s","NorthAmerica"
"amy is so lucky got the iphone 5s","NorthAmerica"
"i cant wait to buy the new i phone 5s damn","Africa"
"my brand new gold iphone 5sw h y ","NorthAmerica"
"ima get a new phone iphone 5s or iphone 5c","NorthAmerica"
