"","Score","Tweet","Continent"
"1",0,"kidkicks23 wow get the ps4 dickhead or a iphone 5s or somthing better then beats","NorthAmerica"
"2",1,"my mom said i can get a new phone friday hell yeah iphone 5s","NorthAmerica"
"3",1,"so sad that im not getting the gold iphone 5s replacement because its not available on the insurance sight guess ill settle for black","NorthAmerica"
"4",1,"first tweet on my iphone 5s d still restoring from icloud backup though and so far i have no service","Europe"
"5",0,"no unlocked iphone 5s apple store century city w viniduraes httptcoyd6qojnaxx","NorthAmerica"
"6",3,"lol everyone in my familyincluding my 10 year old brother has an iphone 5s ballin","NorthAmerica"
"7",0,"does the iphone 5s update automatically i dont remember updating twitter","Europe"
"8",1,"underwhelmed with the iphone 5s thinking of jumping to htc one anyone have one other devices to consider go","NorthAmerica"
"9",2,"ask me why i love iphone5s because its incredibly fast and gorgeous opens apps in nanoseconds ios7 apple iphone","Europe"
"10",4,"got my first iphone a 5s only complaint third party apps that havent updated to the ios 7 style its a jarring experience","NorthAmerica"
"11",3,"galaxy note 3 vs iphone 5s vs lumia 1020 i am so giddy like a boy about to get an ice cream for free note3","Asia"
"12",2,"im the only one that i know of school with a iphone 5s ","NorthAmerica"
"13",1,"who else has an iphone 5s ","NorthAmerica"
"14",0,"welcome hosgeldin 5s iphone apple ios elvedas3 instamood bestagrampicoftheday istanbul httptco6bcxz8t3bk","Asia"
"15",2,"ugh i really dont want the iphone 5s but i kinda need it for imessage and emojis ","NorthAmerica"
"16",0,"carloople yahoo indeed too bad i just got an iphone 5s","Asia"
"17",0,"what to buy on black friday galaxys4 or iphone 5s hmmm","NorthAmerica"
"18",3,"i have like a collection if cases for my iphone 5s lol","NorthAmerica"
"19",0,"iphone 5s ","NorthAmerica"
"20",1,"i need to find me a iphone 5s","NorthAmerica"
"21",0,"i love the iphone 5s ","NorthAmerica"
"22",1,"lowkeycareless fuck it i gotaa iphone 5s now ","NorthAmerica"
"23",1,"ludashann as ms adarnaibong adarna hahaha tried the slomo on iphone5s crossfit alpha strike httptcocqnrbhbgxy","Asia"
"24",1,"dad got the iphone 5s and has been chatting it up with siri for the past 10 minutes","NorthAmerica"
"25",0,"studio tomorrow and i lost my damn lyrics in this weak ass iphone 5s","NorthAmerica"
"26",3,"just cried because my mom told me i was getting the iphone 5s for a birthdaychristmas present lifescomplete","NorthAmerica"
"27",4,"the 3 best features of the iphone5s are 1 camera 2 fingerprint reader 3 lte on sprint","NorthAmerica"
"28",0,"next is a iphone 5s then","NorthAmerica"
"29",3,"my moms friend is selling her white iphone 5s i said i can give you my black iphone 5 to sell and gimme that 5s lol im so stupid","NorthAmerica"
"30",2,"i want the iphone 5s so bad but nobody wants to buy it for me ","NorthAmerica"
"31",1,"lovelauryn i want the iphone 5c for christmas iphone 5s is better","NorthAmerica"
"32",0,"jumped from my iphone 4 all the way to the 5s today we have so much catching up to do siri httptcokbmmkjegh5","NorthAmerica"
"33",0,"i really want a gold iphone 5s","NorthAmerica"
"34",3,"i done had an iphone 3g iphone 4 iphone 5 now an iphone 5s ","NorthAmerica"
"35",0,"i want the iphone 5s","NorthAmerica"
"36",-1,"everything about the iphone 5s is a god send touchid lightning headphones gold ","NorthAmerica"
"37",2,"my christmas list consists of only two things iphone 5s and a plane ticket to california not too much to ask","NorthAmerica"
"38",2,"new iphone 5s for the wife and me sweet","NorthAmerica"
"39",0,"shrimp crab cocktail delicious nofilter hdr iphone5s pappasitos cantina httptcoqvaodue3i4","NorthAmerica"
"40",0,"omg today i touched a gold iphone 5s thanks kellyoink ","NorthAmerica"
"41",2,"wow my dad got the iphone 5s before me ","NorthAmerica"
"42",1,"my new gold case loveit hintofblue aluminum iphone5s home httptcowv6dy4i9mv","NorthAmerica"
"43",3,"apple iphone 5s for her google nexus 5 for him tmobile san marino apt httptcoamaffegtyn","NorthAmerica"
"44",-1,"wearemumbai thebigbhookad reliancemobile where to get iphone 5s with reliance contract in mumbai","Asia"
"45",1,"the iphone 5s compared to my iphone 4 makes me realize how much time ive wasted my life at loading screens","NorthAmerica"
"46",2,"my dad is getting the iphone 5s he cant even work his iphone 3 ","NorthAmerica"
